Made3s,Player,Team,Season,Playoffs
14,Klay Thompson,Golden State Warriors,2018-19,False
13,Zach LaVine,Chicago Bulls,2019-20,False
13,Stephen Curry,Golden State Warriors,2016-17,False
12,Damian Lillard,Portland Trail Blazers,2020-21,True
12,Stephen Curry,Golden State Warriors,2015-16,False
12,Donyell Marshall,Toronto Raptors,2004-05,False
12,Kobe Bryant,Los Angeles Lakers,2002-03,False
11,Stephen Curry,Golden State Warriors,2020-21,False
11,Stephen Curry,Golden State Warriors,2020-21,False
11,Stephen Curry,Golden State Warriors,2020-21,False
11,Stephen Curry,Golden State Warriors,2020-21,False
11,Fred VanVleet,Toronto Raptors,2020-21,False
11,Damian Lillard,Portland Trail Blazers,2019-20,False
11,Damian Lillard,Portland Trail Blazers,2019-20,False
11,Marcus Smart,Boston Celtics,2019-20,False
11,Buddy Hield,Sacramento Kings,2019-20,False
11,Stephen Curry,Golden State Warriors,2018-19,False
11,Stephen Curry,Golden State Warriors,2018-19,False
11,Stephen Curry,Golden State Warriors,2018-19,False
11,Stephen Curry,Golden State Warriors,2016-17,False
11,Klay Thompson,Golden State Warriors,2015-16,True
11,Stephen Curry,Golden State Warriors,2015-16,False
11,Kyrie Irving,Cleveland Cavaliers,2014-15,False
11,Klay Thompson,Golden State Warriors,2014-15,False
11,Deron Williams,Brooklyn Nets,2012-13,False
11,Stephen Curry,Golden State Warriors,2012-13,False
11,J.R. Smith,Denver Nuggets,2008-09,False
11,Dennis Scott,Orlando Magic,1995-96,False
10,Tim Hardaway Jr.,Dallas Mavericks,2020-21,False
10,Stephen Curry,Golden State Warriors,2020-21,False
10,Stephen Curry,Golden State Warriors,2020-21,False
10,Jaylen Brown,Boston Celtics,2020-21,False
10,Danilo Gallinari,Atlanta Hawks,2020-21,False
10,Stephen Curry,Golden State Warriors,2020-21,False
10,Zach LaVine,Chicago Bulls,2020-21,False
10,Terry Rozier,Charlotte Hornets,2020-21,False
10,James Harden,Houston Rockets,2019-20,False
10,James Harden,Houston Rockets,2019-20,False
10,Duncan Robinson,Miami Heat,2019-20,False
10,Devonte' Graham,Charlotte Hornets,2019-20,False
10,Damian Lillard,Portland Trail Blazers,2018-19,True
10,Stephen Curry,Golden State Warriors,2018-19,False
10,Paul George,Oklahoma City Thunder,2018-19,False
10,Stephen Curry,Golden State Warriors,2018-19,False
10,Klay Thompson,Golden State Warriors,2018-19,False
10,Stephen Curry,Golden State Warriors,2018-19,False
10,James Harden,Houston Rockets,2018-19,False
10,Damian Lillard,Portland Trail Blazers,2018-19,False
10,Kemba Walker,Charlotte Hornets,2017-18,False
10,Stephen Curry,Golden State Warriors,2017-18,False
10,Stephen Curry,Golden State Warriors,2015-16,False
10,Klay Thompson,Golden State Warriors,2015-16,False
10,Stephen Curry,Golden State Warriors,2015-16,False
10,Klay Thompson,Golden State Warriors,2015-16,False
10,Wesley Matthews,Dallas Mavericks,2015-16,False
10,Stephen Curry,Golden State Warriors,2014-15,False
10,J.R. Smith,New York Knicks,2013-14,False
